threads,time,speedup
1,0.104042,1.0
2,0.060835,1.71
3,0.044080,2.36
4,0.034941,2.97
5,0.030958,3.36
6,0.028194,3.69
7,0.025468,4.08
8,0.022544,4.61
9,0.023215,4.48
10,0.020217,5.14
11,0.019675,5.28
12,0.019065,5.45
13,0.018490,5.62
14,0.018371,5.66
15,0.018222,5.70
16,0.015879,6.55
17,0.015595,6.67
18,0.016843,6.17
19,0.014386,7.23
20,0.015638,6.65
21,0.014371,7.23
22,0.013975,7.44
23,0.014867,6.99
24,0.013271,7.83
25,0.014211,7.32
26,0.011867,8.76
27,0.013466,7.72
28,0.013798,7.54
29,0.013385,7.77
30,0.013254,7.84
31,0.012304,8.45
32,0.011593,8.97
33,0.010455,9.95
34,0.011606,8.96
35,0.009243,11.25
36,0.011514,9.03
37,0.007268,14.31
38,0.010697,9.72
39,0.010605,9.81
40,0.010430,9.97
